a,##
deism,d1Iz@m
deity,diItI
deject,dI_Ekt
delay,dIl1
delectable,dIlEkt@b@l
delectation,dilEkt1S@n
delegate,dElIg1t
delete,dIlit
delf,dElf
delft,dElft
deliberate,dIlIb@r@t
delicate,dElIk@t
delicious,dIlIS@s
delight,dIl2t
delinquent,dIlINkw@nt
deliquesce,dElIkwEs
delirium,dIlIr7m
deliver,dIlIv@
dell,dEl
delphinium,dElfIn7m
delta,dElt@
delude,dIlud
deluge,dElju_
delve,dElv
demagogue,dEm@gQg
demand,dIm#nd
demean,dImin
dement,dImEnt
demerara,dEm@r8r@
demesne,dIm1n
demise,dIm2z
demob,dimQb
democrat,dEm@kr{t
demolish,dImQlIS
demon,dim@n
demonstrate,dEm@nstr1t
demotic,dImQtIk
demur,dIm3
demure,dImj9
den,dEn
denary,din@rI
denier,dIn2@
denigrate,dEnIgr1t
denim,dEnIm
denizen,dEnIz@n
denounce,dIn6ns
dense,dEns
dent,dEnt
dental,dEnt@l
dentifrice,dEntIfrIs
dentist,dEntIst
denture,dEnJ@
denunciate,dInVnsI1t
deny,dIn2
deodar,dI5d#
depend,dIpEnd
depict,dIpIkt
depilation,dEpIl1S@n
deplete,dIplit
deplore,dIpl$
deploy,dIpl4
deponent,dIp5n@nt
deport,dIp$t
deposit,dIpQzIt
depot,dEp5
deprave,dIpr1v
deprecate,dEprIk1t
depredate,dEprId1t
depress,dIprEs
depute,dIpjut
derange,dIr1n_
derby,d#bI
deride,dIr2d
derogate,dEr5g1t
derrick,dErIk
derv,d3v
dervish,d3vIS
descant,dEsk{nt
descend,dIsEnd
describe,dIskr2b
descry,dIskr2
desert,dIz3t
deserve,dIz3v
deshabille,d1z{bi1
desiccate,dEsIk1t
desideratum,dIzId@r#t@m
design,dIz2n
desire,dIz2@
desist,dIzIst
desk,dEsk
desolate,dEs@l@t
despair,dIsp8
desperado,dEsp@r#d5
despise,dIsp2z
despite,dIsp2t
despond,dIspQnd
despot,dEspQt
dessert,dIz3t
destine,dEstIn
destiny,dEstInI
destitute,dEstItjut
destroy,dIstr4
destruct,dIstrVkt
desuetude,dIsjuItjud
desultory,dEs@lt@rI
detach,dIt{J
detail,dit1l
detain,dIt1n
detect,dItEkt
deter,dIt3
detergent,dIt3_@nt
deteriorate,dIt7r7r1t
determine,dIt3mIn
detest,dItEst
detonate,dEt@n1t
detriment,dEtrIm@nt
detritus,dItr2t@s
deuce,djus
devastate,dEv@st1t
develop,dIvEl@p
deviate,divI1t
devil,dEv@l
devious,divj@s
devise,dIv2z
devour,dIv6@
devout,dIv6t
dew,dju
dexterity,dEkstEr@tI
dexterous,dEkst@r@s
dextrose,dEkstr5s
dextrous,dEkstr@s
dhoti,d5tI
dhow,d6
diabetes,d2@bitiz
diabolic,d2@bQlIk
diadem,d2@dEm
diaeresis,d2ErIsIs
diagnose,d2@gn5z
diagonal,d2{g@n@l
dial,d2@l
dialect,d2@lEkt
diameter,d2{mIt@
diamond,d2@m@nd
diaper,d2@p@
diaphanous,d2{f@n@s
diaphragm,d2@fr{m
diarrhoea,d2@r7
diary,d2@rI
diatom,d2@t@m
diatonic,d2@tQnIk
diatribe,d2@tr2b
dib,dIb
dibble,dIb@l
dice,d2s
dichotomy,d2kQt@mI
dick,dIk
dickens,dIkInz
dicker,dIk@
dicky,dIkI
dictate,dIkt1t
diction,dIkS@n
dictum,dIkt@m
didactic,dId{ktIk
diddle,dId@l
die,d2
diesel,diz@l
diet,d2@t
differ,dIf@
difficult,dIfIk@lt
diffident,dIfId@nt
diffract,dIfr{kt
diffuse,dIfjus
dig,dIg
digest,dI_Est
digit,dI_It
dignity,dIgn@tI
digress,d2grEs
dike,d2k
dilapidate,dIl{pId1t
dilate,d2l1t
dildo,dIld5
dilemma,dIlEm@
diligent,dIlI_@nt
dill,dIl
dilute,d2ljut
dim,dIm
dime,d2m
dimension,dImEnS@n
diminish,dImInIS
dimity,dImItI
dimple,dImp@l
din,dIn
dinar,din#
dine,d2n
dinghy,dINgI
dingle,dINg@l
dingo,dINg5
dingy,dIn_I
dinkum,dINk@m
dinky,dINkI
dinosaur,d2n5s$
dint,dInt
diocese,d2@sIs
dip,dIp
diphtheria,dIfT7r7
diploma,dIpl5m@
diplomat,dIpl@m{t
diptych,dIptIk
dire,d2@
direct,dIrEkt
dirge,d3_
dirigible,dIrI_@b@l
dirk,d3k
dirndl,d3nd@l
dirt,d3t
disaster,dIz#st@
disburse,dIsb3s
disc,dIsk
discern,dIs3n
disciple,dIs2p@l
discipline,dIsIplIn
disco,dIsk5
discommode,dIsk@m5d
discord,dIsk$d
discreet,dIskrit
discrepant,dIskrEp@nt
discrete,dIskrit
discriminate,dIskrImIn@t
discursive,dIsk3sIv
discus,dIsk@s
discuss,dIskVs
disdain,dIsd1n
disgruntle,dIsgrVnt@l
disgust,dIsgVst
dish,dIS
dishabille,dIs{bil
dismal,dIzm@l
dismay,dIsm1
dismiss,dIsmIs
disparage,dIsp{rI_
disparate,dIsp@r@t
dispatch,dIsp{J
dispel,dIspEl
dispense,dIspEns
disperse,dIsp3s
display,dIspl1
disport,dIsp$t
dispose,dIsp5z
dispute,dIspjut
disquisition,dIskwIzIS@n
disrupt,dIsrVpt
dissect,dIsEkt
disseminate,dIsEmIn1t
dissent,dIsEnt
dissertation,dIs@t1S@n
dissident,dIsId@nt
dissipate,dIsIp1t
dissolute,dIs@lut
dissolve,dIzQlv
distaff,dIst#f
distant,dIst@nt
distend,dIstEnd
distil,dIstIl
distinct,dIstINkt
distinguish,dIstINgwIS
distort,dIst$t
distract,dIstr{kt
distrain,dIstr1n
distraught,dIstr$t
distress,dIstrEs
distribute,dIstrIbjut
district,dIstrIkt
disturb,dIst3b
ditch,dIJ
dither,dID@
ditto,dIt5
ditty,dItI
diuretic,d2j9rEtIk
diurnal,d23n@l
divagate,d2v@g1t
divan,dIv{n
dive,d2v
diverge,d2v3_
divers,d2v@z
diverse,d2v3s
divert,d2v3t
divide,dIv2d
dividend,dIvIdEnd
divine,dIv2n
divorce,dIv$s
divot,dIv@t
divulge,d2vVl_
divvy,dIvI
dixie,dIksI
dizzy,dIzI
djinn,_In
do,d5
dobbin,dQbIn
docile,d5s2l
dock,dQk
docket,dQkIt
doctor,dQkt@
doctrine,dQktrIn
document,dQkjUmEnt
dodder,dQd@
doddle,dQd@l
dodge,dQ_
dodgem,dQ_@m
dodo,d5d5
doe,d5
doff,dQf
dog,dQg
doge,d5_
doggerel,dQg@r@l
dogie,d5gI
dogma,dQgm@
doily,d4lI
doldrums,dQldr@mz
dole,d5l
doll,dQl
dollar,dQl@
dollop,dQl@p
dolmen,dQlmEn
dolour,dQl@
dolphin,dQlfIn
dolt,d5lt
domain,d5m1n
dome,d5m
domestic,d5mEstIk
domicile,dQmIs2l
dominate,dQmIn1t
domineer,dQmIn7
dominie,dQmInI
dominion,d@mInj@n
domino,dQmIn5
don,dQn
donate,d5n1t
donjon,dQn_@n
donkey,dQNkI
donor,d5n@
doodle,dud@l
doom,dum
door,d$
dope,d5p
dormant,d$m@nt
dormer,d$m@
dormitory,d$m@trI
dorsal,d$s@l
dory,d$rI
dose,d5s
doss,dQs
dot,dQt
dottle,dQt@l
double,dVb@l
doubloon,dVblun
doubt,d6t
douche,duS
dough,d5
doughty,d6tI
dour,d9
douse,d6s
dove,d5v
dowager,d6@_@
dowdy,d6dI
dowel,d6@l
dower,d6@
down,d6n
dowry,d6@rI
dowse,d6z
doyen,d4En
doyenne,d4En
doze,d5z
dozen,dVz@n
drab,dr{b
drachm,dr{m
drachma,dr{km@
draft,dr#ft
drag,dr{g
dragon,dr{gQn
dragoon,dr@gun
drain,dr1n
drake,dr1k
dram,dr{m
drama,dr#m@
drape,dr1p
drastic,dr{stIk
drat,dr{t
draught,dr#ft
draw,dr$
drawl,dr$l
dray,dr1
dread,drEd
dream,drim
drear,dr7
dreary,dr7rI
dredge,drE_
drench,drEnJ
dress,drEs
dribble,drIb@l
drift,drIft
drill,drIl
drink,drINk
drip,drIp
drive,dr2v
drivel,drIv@l
drizzle,drIz@l
drogue,dr5g
droll,dr5l
dromedary,drQm@d@rI
drone,dr5n
drool,drul
droop,drup
drop,drQp
dropsy,drQpsI
dross,drQs
drought,dr6t
drove,dr5v
drown,dr6n
drowse,dr6z
drub,drVb
drudge,drV_
drug,drVg
drugget,drVgIt
druid,druId
drum,drVm
drunk,drVNk
drupe,drup
dry,dr2
dryad,dr2@d
dual,dju@l
dub,dVb
dubbin,dVbIn
dubious,djubj@s
dubitable,djubIt@b@l
ducat,dVk@t
duck,dVk
duct,dVkt
ductile,dVkt2l
dud,dVd
dude,djud
dudgeon,dV_@n
due,dju
duel,dju@l
duenna,djuEn@
duet,djuEt
duff,dVf
duffel,dVf@l
duffer,dVf@
dug,dVg
dugong,dugQN
duke,djuk
dulcet,dVlsIt
dulcimer,dVlsIm@
dull,dVl
dumb,dVm
dumdum,dVmdVm
dump,dVmp
dun,dVn
dunce,dVns
dune,djun
dung,dVN
dungaree,dVNg@ri
dungeon,dVn_@n
dunk,dVNk
duo,dju5
duodenum,dju5din@m
duologue,djU@lQg
dupe,djup
duplex,djuplEks
duplicate,djuplIk1t
duplicity,djuplIs@tI
durable,dj9r@b@l
duration,dj9r1S@n
durbar,d3b#
duress,dj9rEs
during,dj9rIN
dusk,dVsk
dust,dVst
duty,djutI
duvet,duv1
dwarf,dw$f
dwell,dwEl
dwindle,dwInd@l
dye,d2
dynamic,d2n{mIk
dynamo,d2n@m5
dynast,dIn@st
dynasty,dIn@stI
dyne,d2n
dyslexia,dIslEks7
dystrophy,dIstr@fI
e,E
each,iJ
eager,ig@
eagle,ig@l
ear,7
earl,3l
early,3lI
earn,3n
earnest,3nIst
earth,3T
ease,iz
easel,iz@l
east,ist
easter,ist@
eat,it
eaves,ivz
ebb,Eb
ebony,Eb@nI
ebullient,IbVlj@nt
eccentric,IksEntrIk
echelon,ES@lQn
echo,Ek5
eclectic,EklEktIk
eclipse,IklIps
eclogue,EklQg
ecru,1kru
ecstasy,Ekst@sI
eczema,EksIm@
eddy,EdI
edge,E_
edict,idIkt
edifice,EdIfIs
edify,EdIf2
edit,EdIt
educate,E_Uk1t
educe,idjus
eel,il
een,in
eer,3
eerie,7rI
eff,Ef
efface,If1s
effect,IfEkt
effeminate,IfEmIn@t
effendi,EfEndI
effervesce,Ef@vEs
effete,Ifit
efficacy,EfIk@sI
efficient,IfIS@nt
effigy,EfI_I
effloresce,Efl$rEs
effluent,Efl9nt
efflux,EflVks
effort,Ef@t
effrontery,IfrVnt@rI
effulgent,IfVl_@nt
effuse,Ifjuz
eft,Eft
egalitarian,Ig{lIt8r7n
egg,Eg
eglantine,Egl@nt2n
ego,Eg5
egregious,Igri_@s
egress,igrEs
egret,igrIt
eider,2d@
eight,1t
either,2D@
ejaculate,I_{kjUl1t
eject,I_Ekt
elaborate,Il{b@r@t
eland,il@nd
elastic,Il{stIk
elate,Il1t
elbow,Elb5
elder,Eld@
elect,IlEkt
electric,IlEktrIk
electrode,IlEktr5d
eleemosynary,ElIimQsIn@rI
elegant,ElIg@nt
elegy,ElI_I
element,ElIm@nt
elephant,ElIf@nt
elevate,ElIv1t
eleven,IlEv@n
elf,Elf
elfin,ElfIn
elicit,IlIsIt
elide,Il2d
eliminate,IlImIn1t
elite,1lit
elixir,IlIks@
elk,Elk
ellipse,IlIps
ellipsis,IlIpsIs
elm,Elm
elocution,El@kjuS@n
elope,Il5p
eloquent,El@kw@nt
else,Els
elude,Ilud
elver,Elv@
emaciate,Im1SI1t
emancipate,Im{nsIp1t
emasculate,Im{skjUl1t
embargo,Emb#g5
embarrass,Imb{r@s
embassy,Emb@sI
embellish,ImbElIS
ember,Emb@
embezzle,ImbEz@l
emblem,Embl@m
embolism,Emb@lIz@m
embrasure,Imbr1Z@
embrocate,Embr5k1t
embroider,Imbr4d@
embryo,EmbrI5
emcee,Emsi
emerald,Em@r@ld
emerge,Im3_
emeritus,ImErIt@s
emery,Em@rI
emetic,ImEtIk
eminent,EmIn@nt
emir,Em7
emit,ImIt
emollient,ImQl7nt
emolument,ImQljUm@nt
emote,Im5t
emperor,Emp@r@
emphasis,Emf@sIs
emphysema,EmfIsim@
empire,Emp2@
empiric,ImpIrIk
employ,Impl4
emporium,Emp$r7m
empty,EmptI
empyreal,Emp2ri@l
empyrean,Emp2ri@n
emu,imju
emulate,EmjUl1t
emulsion,ImVlS@n
enamel,In{m@l
enchant,InJ#nt
enclave,Enkl1v
encomium,Enk5mj@m
encroach,Inkr5J
encyclical,InsIklIk@l
encyclopedia,Ins2kl5pidj@
end,End
endeavour,IndEv@
endemic,EndEmIk
endive,EndIv
endocrine,End5kr2n
endorse,Ind$s
endow,Ind6
endue,Indju
endure,Indj9
enema,EnIm@
enemy,En@mI
energy,En@_I
enfilade,EnfIl1d
engage,Ing1_
engender,In_End@
engine,En_In
engrave,Ingr1v
engross,Ingr5s
enhance,Inh#ns
enigma,InIgm@
enjoy,In_4
enmity,Enm@tI
enough,InVf
enounce,in6ns
ensile,Ens2l
ensue,Insju
enter,Ent@
enteric,EntErIk
enterprise,Ent@pr2z
entertain,Ent@t1n
enthral,InTr$l
enthuse,InTjuz
entice,Int2s
entire,Int2@
entity,Ent@tI
entreat,Intrit
entresol,Qntr@sQl
entropy,Entr@pI
enunciate,InVnsI1t
envelop,InvEl@p
envelope,Env@l5p
environ,Inv2@r@n
envisage,InvIzI_
envoy,Env4
envy,EnvI
enzyme,Enz2m
epaulet,Ep5lEt
ephemeral,IfEm@r@l
epic,EpIk
epicure,EpIkj9
epidemic,EpIdEmIk
epilepsy,EpIlEpsI
epilogue,EpIlQg
epiphany,IpIf@nI
episode,EpIs5d
epistle,IpIs@l
epitaph,EpIt#f
epithet,EpITEt
epitome,IpIt@mI
epoch,ipQk
eponym,Ep5nIm
equal,ikw@l
equanimity,Ekw@nIm@tI
equerry,EkwErI
equestrian,IkwEstr7n
equilibrium,ikwIlIbr7m
equine,Ekw2n
equinox,ikwInQks
equip,IkwIp
equitation,EkwIt1S@n
equity,Ekw@tI
equivalent,IkwIv@l@nt
equivocal,IkwIv@k@l
equivocate,IkwIv@k1t
era,7r@
eradicate,Ir{dIk1t
erase,Ir1z
ere,8
erect,IrEkt
eremite,ErIm2t
erg,3g
ergo,3g5
ergonomic,3g5nQmIk
ermine,3mIn
erode,Ir5d
erogenous,IrQ_In@s
erotic,IrQtIk
erotica,IrQtIk@
err,3
errand,Er@nd
erratic,Ir{tIk
erratum,Er#t@m
error,Er@
eructate,IrVkt1t
erudite,Erud2t
erupt,IrVpt
erysipelas,ErIsIpIl@s
escalate,Esk@l1t
escalope,Esk{lQp
escape,Isk1p
escarp,Isk#p
eschew,IsJu
escort,Isk$t
escritoire,Eskritw#
escutcheon,IskVJ@n
esoteric,Es5tErIk
espalier,Isp{lj@
especial,IspES@l
espionage,Esp7n#_
esplanade,Espl@n1d
espouse,Isp6z
esprit,Espri
essay,Es1
essence,Es@ns
establish,Ist{blIS
estate,Ist1t
esteem,Istim
ester,Est@
estimate,EstIm1t
estuary,Estj9rI
etch,EJ
eternal,It3n@l
ether,iT@
ethic,ETIk
ethnic,ETnIk
ethos,iTQs
ethyl,ETIl
etiolate,itI5l1t
etiquette,EtIkEt
eucalyptus,juk@lIpt@s
eugenic,ju_EnIk
eulogy,jul@_I
eunuch,jun@k
euphemism,juf@mIz@m
euphonium,juf5nj@m
euphony,juf@nI
euphoria,juf$r7
eurhythmy,jurIDmI
euthanasia,juT@n1zj@
evacuate,Iv{kjU1t
evade,Iv1d
evanesce,iv@nEs
evangel,Iv{n_El
eve,iv
even,iv@n
evening,iv@nIN
event,IvEnt
ever,Ev@
every,EvrI
evict,IvIkt
evident,EvId@nt
evil,iv@l
evince,IvIns
evoke,Iv5k
evolve,IvQlv
ewe,ju
ewer,ju@
ex,Eks
exacerbate,Igz{s@b1t
exact,Igz{kt
exaggerate,Igz{_@r1t
exalt,Igz$lt
examine,Igz{mIn
example,Igz#mp@l
exasperate,Igz{sp@r1t
excavate,Eksk@v1t
exceed,Iksid
excel,IksEl
excelsior,EksElsI$
except,IksEpt
excerpt,Eks3pt
excess,EksEs
exchequer,IksJEk@
excise,Eks2z
excite,Iks2t
exclaim,Ikskl1m
exclude,Iksklud
excoriate,Eksk$rI1t
excrescent,IkskrEs@nt
excreta,Ikskrit@
excrete,Ikskrit
excruciate,IkskruSI1t
exculpate,EkskVlp1t
excursion,Iksk3S@n
excuse,Ikskjuz
execrate,EksIkr1t
execute,EksIkjut
executrix,IgzEkjUtrIks
exegesis,EksI_isIs
exempt,IgzEmpt
exercise,Eks@s2z
exert,Igz3t
exeunt,EksIVnt
exhaust,Igz$st
exhibit,IgzIbIt
exhilarate,IgzIl@r1t
exhort,Igz$t
exhume,Ekshjum
exigent,EksI_@nt
exiguous,EgzIgj9s
exile,Eks2l
exist,IgzIst
exit,EksIt
exodus,Eks@d@s
exonerate,IgzQn@r1t
exorbitant,Igz$bIt@nt
exorcism,Eks$sIz@m
exorcize,Eks$s2z
exotic,IgzQtIk
expand,Iksp{nd
expect,IkspEkt
expectorate,IkspEkt@r1t
expedient,Ikspidj@nt
expedite,EkspId2t
expel,IkspEl
expend,IkspEnd
experience,Iksp7r7ns
experiment,IkspErIm@nt
expert,Eksp3t
expiate,EkspI1t
expire,Iksp2@
explain,Ikspl1n
expletive,IksplitIv
explicate,EksplIk1t
explicit,IksplIsIt
explode,Ikspl5d
exploit,Ikspl4t
explore,Ikspl$
exponent,Iksp5n@nt
export,Iksp$t
expose,Eksp5z1
expound,Iksp6nd
express,IksprEs
expropriate,Ekspr5prI1t
expunge,IkspVn_
exquisite,EkskwIzIt
extant,Ekst{nt
extempore,EkstEmp@rI
extend,IkstEnd
extenuate,IkstEnjU1t
exterior,Ikst7r7
external,Ikst3n@l
extinct,IkstINkt
extinguish,IkstINgwIS
extirpate,Ekst@p1t
extol,Ikst5l
extra,Ekstr@
extract,Ikstr{kt
extradite,Ekstr@d2t
extraneous,Ikstr1nj@s
extrapolate,Ikstr{p5l1t
extravagant,Ikstr{v@g@nt
extreme,Ikstrim
extricate,EkstrIk1t
extrinsic,EkstrInsIk
extrude,Ikstrud
exuberant,Igzjub@r@nt
exude,Igzjud
exult,IgzVlt
eye,2
eyot,1t
eyrie,2@rI
fa,f#
fab,f{b
fable,f1b@l
fabric,f{brIk
fabricate,f{brIk1t
fabulous,f{bjUl@s
facade,f@s#d
face,f1s
facet,f{sIt
facetious,f@siS@s
facile,f{s2l
facsimile,f{ksImIlI
fact,f{kt
faction,f{kS@n
factitious,f{ktIS@s
factor,f{kt@
factory,f{kt@rI
factotum,f{kt5t@m
faculty,f{k@ltI
fad,f{d
fade,f1d
faeces,fisiz
faery,f1@rI
fag,f{g
faggot,f{g@t
fail,f1l
fain,f1n
faint,f1nt
fair,f8
fairy,f8rI
faith,f1T
fake,f1k
fakir,f1k7
falcon,f$lk@n
fall,f$l
fallacy,f{l@sI
fallible,f{l@b@l
fallow,f{l5
false,f$ls
falter,f$lt@
fame,f1m
family,f{m@lI
famine,f{mIn
famish,f{mIS
fan,f{n
fanatic,f@n{tIk
fancy,f{nsI
fanfare,f{nf8
fang,f{N
fanny,f{nI
fantan,f{nt{n
fantasia,f{nt1zj@
fantasy,f{nt@sI
far,f#
farce,f#s
fare,f8
farinaceous,f{rIn1S@s
farm,f#m
farrago,f@r#g5
farrier,f{r7
farrow,f{r5
fart,f#t
farthing,f#DIN
fascia,f1S@
fascinate,f{sIn1t
fascism,f{SIz@m
fashion,f{S@n
fast,f#st
fastidious,f@stId7s
fat,f{t
fate,f1t
father,f#D@
fathom,f{D@m
fatigue,f@tig
fatuous,f{tj9s
faucet,f$sIt
fault,f$lt
faun,f$n
fauna,f$n@
favour,f1v@
fawn,f$n
fay,f1
faze,f1z
fealty,fi@ltI
fear,f7
feasible,fiz@b@l
feast,fist
feat,fit
feather,fED@
feature,fiJ@
febrile,fibr2l
february,fEbr9rI
fecund,fik@nd
federal,fEd@r@l
federate,fEd@r@t
fee,fi
feeble,fib@l
feed,fid
feel,fil
feign,f1n
feint,f1nt
feldspar,fEldsp#
felicity,f@lIs@tI
feline,fil2n
fell,fEl
fellah,fEl@
fellatio,fEl1SI5
fellow,fEl5
felon,fEl@n
felspar,fElsp#
felt,fElt
felucca,fElVk@
female,fim1l
feminine,fEmInIn
femur,fim@
fen,fEn
fence,fEns
fend,fEnd
fennel,fEn@l
feral,f7r@l
ferment,f@mEnt
fern,f3n
ferret,fErIt
ferrous,fEr@s
ferrule,fErul
ferry,fErI
fertile,f3t2l
ferule,fErul
fervent,f3v@nt
fervid,f3vId
fervour,f3v@
fester,fEst@
festoon,fEstun
fetch,fEJ
fetid,fEtId
fetish,fEtIS
fetlock,fEtlQk
fetter,fEt@
fettle,fEt@l
feud,fjud
fever,fiv@
few,fju
fey,f1
fez,fEz
fiance,fiQns1
fiancee,fiQns1
fiasco,fI{sk5
fiat,f2{t
fib,fIb
fibre,f2b@
fibrositis,f2br5s2tIs
fibula,fIbjUl@
fichu,fiSu
fickle,fIk@l
fiction,fIkS@n
fiddle,fId@l
fidelity,fIdEl@tI
fidget,fI_It
fief,fif
field,fild
fiend,find
fierce,f7s
fiery,f2@rI
fiesta,fIEst@
fife,f2f
fig,fIg
fight,f2t
figment,fIgm@nt
figure,fIg@
figurine,fIg@rin
filament,fIl@m@nt
filature,fIl@J@
filbert,fIlb@t
filch,fIlJ
file,f2l
filet,fIl1
filial,fIlj@l
filibuster,fIlIbVst@
filigree,fIlIgri
fill,fIl
fillet,fIlIt
fillip,fIlIp
filly,fIlI
film,fIlm
filter,fIlt@
filth,fIlT
fin,fIn
final,f2n@l
finale,fIn#lI
finance,f2n{ns
finch,fInJ
find,f2nd
fine,f2n
finesse,fInEs
finger,fINg@
finicky,fInIkI
finis,fInIs
finish,fInIS
finite,f2n2t
fink,fINk
fir,f3
fire,f2@
firkin,f3kIn
firm,f3m
firmament,f3m@m@nt
first,f3st
firth,f3T
fiscal,fIsk@l
fish,fIS
fissile,fIs2l
fission,fIS@n
fissiparous,fIsIp@r@s
fissure,fIS@
fist,fIst
fistula,fIstjUl@
fit,fIt
five,f2v
fix,fIks
fizz,fIz
fjord,fj$d
flabbergast,fl{b@g#st
flaccid,fl{ksId
flag,fl{g
flagellum,fl@_El@m
flageolet,fl{_5lEt
flagon,fl{g@n
flagrant,fl1gr@nt
flail,fl1l
flair,fl8
flak,fl{k
flake,fl1k
flambeau,fl{mb5
flamboyant,fl{mb4@nt
flame,fl1m
flamenco,fl@mENk5
flamingo,fl@mINg5
flan,fl{n
flange,fl{n_
flank,fl{Nk
flannel,fl{n@l
flap,fl{p
flare,fl8
flash,fl{S
flask,fl#sk
flat,fl{t
flatter,fl{t@
flatulent,fl{tjUl@nt
flaunt,fl$nt
flavour,fl1v@
flaw,fl$
flax,fl{ks
flay,fl1
flea,fli
fleck,flEk
fledge,flE_
flee,fli
fleece,flis
fleet,flit
flesh,flES
flex,flEks
flick,flIk
flicker,flIk@
flight,fl2t
flimsy,flImzI
flinch,flInJ
fling,flIN
flint,flInt
flip,flIp
flirt,fl3t
flit,flIt
flitch,flIJ
flivver,flIv@
float,fl5t
flock,flQk
floe,fl5
flog,flQg
flood,flVd
floor,fl$
flop,flQp
flora,fl$r@
florin,flQrIn
floss,flQs
flotilla,fl5tIl@
flotsam,flQts@m
flounce,fl6ns
flounder,fl6nd@
flour,fl6@
flourish,flVrIS
flout,fl6t
flow,fl5
flower,fl6@
fluctuate,flVkJU1t
flue,flu
fluent,flu@nt
fluff,flVf
fluid,fluId
fluke,fluk
flume,flum
flummery,flVm@rI
flummox,flVm@ks
flunk,flVNk
fluor,flu$
fluoresce,fl$rEs
flurry,flVrI
flush,flVS
fluster,flVst@
flute,flut
flutter,flVt@
fluvial,fluvj@l
flux,flVks
fly,fl2
foal,f5l
foam,f5m
fob,fQb
focsle,f5ks@l
focus,f5k@s
fodder,fQd@
foe,f5
foetus,fit@s
fog,fQg
fogey,f5gI
foible,f4b@l
foil,f4l
fold,f5ld
foliage,f5lII_
foliate,f5lI1t
folio,f5lI5
folk,f5k
follicle,fQlIk@l
follow,fQl5
folly,fQlI
foment,f5mEnt
fond,fQnd
fondant,fQnd@nt
fondle,fQnd@l
fondue,fQndju
font,fQnt
food,fud
fool,ful
foot,fUt
footle,fut@l
fop,fQp
for,f$
forage,fQrI_
foray,fQr1
forbid,f@bId
force,f$s
forceps,f$sEps
ford,f$d
fore,f$
foreign,fQr@n
forensic,f@rEnsIk
forest,fQrIst
forfeit,f$fIt
forge,f$_
forget,f@gEt
forgive,f@gIv
fork,f$k
forlorn,f@l$n
form,f$m
formalin,f$m@lIn
format,f$m{t
former,f$m@
formic,f$mIk
formidable,f$mId@b@l
formula,f$mjUl@
fornicate,f$nIk1t
forrader,fQr@d@
forsooth,f@suT
fort,f$t
forte,f$tI
forth,f$T
fortify,f$tIf2
fortitude,f$tItjud
fortress,f$trIs
fortuitous,f$tjuIt@s
fortune,f$Jun
forum,f$r@m
forward,f$w@d
fosse,fQs
fossil,fQs@l
foster,fQst@
foul,f6l
found,f6nd
founder,f6nd@
fount,f6nt
fountain,f6ntIn
four,f$
fowl,f6l
fox,fQks
fracas,fr{k#
fraction,fr{kS@n
fracture,fr{kJ@
fragile,fr{_2l
fragment,fr{gmEnt
fragrant,fr1gr@nt
frail,fr1l
frame,fr1m
franc,fr{Nk
franchise,fr{nJ2z
frank,fr{Nk
franklin,fr{NklIn
frantic,fr{ntIk
fraternal,fr@t3n@l
fraternity,fr@t3n@tI
fraud,fr$d
fraught,fr$t
fray,fr1
frazzle,fr{z@l
freak,frik
freckle,frEk@l
free,fri
freebie,fribi
freeze,friz
freight,fr1t
frenetic,fr@nEtIk
frenzy,frEnzI
frequent,frikw@nt
fresco,frEsk5
fresh,frES
fret,frEt
friar,fr2@
fricassee,frIk@si
friction,frIkS@n
friend,frEnd
frieze,friz
frigate,frIg@t
fright,fr2t
frigid,frI_Id
frill,frIl
fringe,frIn_
frippery,frIp@rI
frisk,frIsk
frisson,frisQn
fritter,frIt@
frivol,frIv@l
frivolous,frIv@l@s
frizz,frIz
frizzle,frIz@l
fro,fr5
frock,frQk
frog,frQg
frolic,frQlIk
from,frQm
frond,frQnd
front,frVnt
frontier,frVnt7
frost,frQst
froth,frQT
frown,fr6n
frowst,fr6st
frowzy,fr6zI
fructify,frVktIf2
frugal,frug@l
fruit,frut
frump,frVmp
frustrate,frVstr1t
fry,fr2
fuck,fVk
fuddle,fVd@l
fudge,fV_
fuel,fj9l
fug,fVg
fugitive,fju_@tIv
fugue,fjug
fulcrum,fUlkr@m
full,fUl
fulmar,fUlm@
fulminate,fVlmIn1t
fumble,fVmb@l
fume,fjum
fun,fVn
function,fVNkS@n
fund,fVnd
fundament,fVnd@m@nt
funeral,fjun@r@l
fungus,fVNg@s
funicular,fjunIkjUl@
funk,fVNk
funnel,fVn@l
fur,f3
furbish,f3bIS
furl,f3l
furlong,f3lQN
furlough,f3l5
furnace,f3nIs
furnish,f3nIS
furniture,f3nIJ@
furor,fj9r$
furore,fj9r$rI
furrow,fVr5
furtive,f3tIv
fury,fj9rI
furze,f3z
fuse,fjuz
fuselage,fjuz@l#Z
fusil,fjuzIl
fuss,fVs
fustian,fVst7n
futile,fjut2l
future,fjuJ@
fuzz,fVz
gab,g{b
gabardine,g{b@din
gabble,g{b@l
gable,g1b@l
gad,g{d
gadget,g{_It
gaff,g{f
gaffe,g{f
gaffer,g{f@
gag,g{g
gaga,g#g#
gage,g1_
gaggle,g{g@l
gain,g1n
gait,g1t
gaiter,g1t@
gal,g{l
gala,g#l@
galantine,g{l@ntin
galaxy,g{l@ksI
